IncidentNum,IncidentName,Date,Time,Status,Incident Type,Start,Cause,IC,IC Org,State Unit,County,Ownership,Nearest Town,Size,Containment,Est Contain Date,Line Est,CTD,Control Date,Control Time,Inj this Period,Inj to Date,Fatalities,Evacs,Human Threat,#Res Threatened,#Res Damaged,#Res Destroyed,#Comm Threatened,#Comm Damaged,#Comm Destroyed,#OB/Other Threatened,#OB/Other Damaged,#OB/Other Destroyed,12hr Mvmt/Sprd,24hr Mvmt/Sprd,48hr Mvmt/Sprd,72hr Mvmt/Sprd,12hr Values at Risk,24hr Values at Risk,48hr Values at Risk,72hr Values at Risk,Rsrcs Threatened,12hr Crit Rsrc Needs,24hr Crit Rsrc Needs,48hr Crit Rsrc Needs,72hr Crit Rsrc Needs,Crit Rsrc 1,Crit Rsrc 2,Crit Rsrc 3,Rsrc Bene/Obj (Rx),Problems & Concerns,Peak Gusts,Max Temp,Wind Direction,Min Rel Humidity,Fuels,Fire Behavior,Events,Forecast Wind Speed,Forecast Temp,Forecast Wind Direction,Forecast Rel Humidity,Est Control Date,Proj Final Size,Est Final Cost,Planned Actions,Growth Potential,Terrain Difficulty,Management Outlook,Demob Date,Remarks,Cooperators,crw1-sr,crw1-st,crw2-sr,crw2-st,hel1-sr,hel2-sr,hel3-sr,engs-sr,engs-st,dozr-sr,dozr-st,wtdr-sr,ovhd-sr,camp crews,total pers,othr,Prepared By,Approved By,Sent To,Sent By,Send Date,Send Time,AG,APHIS,BIA,BLM,BOR,C&L,CDF,DC,DDQ,DOC,DOD,FWS,IA,INTL,LGR,NPS,OES,PRI,ST,USFS,WXW,CNTY,OTHR,DHS
04-ALS-029,Winston,3/30/2004,0,Final,Wildland Fire,03/27/2004 0000,Human,,3,AL-ALS,Winston,,Sect 16 Tnp 12S Rng 9W,107ACRES,100Percent,3/28/04,,,3/28/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 8 Closed Timber Litter ,,,,,,,03/24/2004 0000,107,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/30/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-030,Jackson,4/5/2004,0,Final,Wildland Fire,04/04/2004 0000,Human,,3,AL-ALS,Jackson,,Sect 21 Tnp 2S Rng 9E,500ACRES,100Percent,4/4/04,,,4/5/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 9 Hardwood Litter ,,,,,,,04/05/2004 0000,500,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,4/5/04,1600,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-031,Cleburne 2,4/5/2004,0,Final,Wildland Fire,04/04/2004 0000,Human,,2,AL-ALS,Cleburne,,Sect 11 Tnp 14S Rng 11E,350ACRES,100Percent,4/4/04,,,4/5/04,0,0,0,,FALSE,FALSE,6,,,,,,7,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 7 Southern Rough 6 year old Pine Plantation,,,,,,,04/05/2004 0000,350,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,4/5/04,1620,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-032,Birdland,4/6/2004,0,Final,Wildland Fire,04/04/2004 2100,Human,,2,AL-ALS,Macon,,"Sect 16, Tnp 15N Rng 25E",499ACRES,100Percent,4/5/04,,,4/6/04,0,0,0,,FALSE,FALSE,3,,,,,,,,1, ,,,,,,,, ,,,,,,,, ,, mph,,,," 2 Timber (grass and understory) also 75 acres of 5 year old Pine Plantation",,,,,,,04/06/2004 0800,499,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,4/6/04,1000,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-033,Macon SE,4/8/2004,0,Final,Wildland Fire,04/07/2004 1802,Human,,2,AL-ALS,Macon,,"Sect 5,6, Tnp 15N Rng 22E","1,000ACRES",100Percent,4/8/04,,,4/8/04,1200,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,," 7 Southern Rough 50 acres 5 year old pine plantation, 950 acres natural pine stand",,,,,,,04/08/2004 1200,1000,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,4/8/04,1400,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-034,Autauga,4/12/2004,0,Final,Wildland Fire,04/10/2004 0000,Human,,3,AL-ALS,Autauga,,Sect 17 Tnp 18N Rng 15E,120ACRES,100Percent,4/10/04,,,4/11/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 7 Southern Rough ,,,,,,,04/11/2004 0000,120,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,4/12/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-035,Mobile,4/12/2004,0,Final,Wildland Fire,04/08/2004 0000,Human,,3,AL-ALS,Mobile,,Sect 28 Tnp 1S Rng 1E,130ACRES,100Percent,4/8/04,,,4/9/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,," 7 Southern Rough 115 Acres 10 yr old Pine Plantation",,,,,,,04/09/2004 0000,130,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,4/12/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-036,Greenbay,4/20/2004,0,Final,Wildland Fire,04/16/2004 1100,Human,,3,AL-ALS,Covington,,Sect 32 Tnp 3 N Rng 18E,563ACRES,100Percent,4/16/04,,,4/17/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,," 7 Southern Rough 88 acres 3 year old pine plantation, 475 acres natural pine",,,,,,,04/17/2004 0000,563,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,4/20/04,0,,,,,,,,,,,,,,,,,,,,,,,,
0R-WSA-0007,Sidwalter Butte,4/28/2004,1835,Initial,Wildland Fire,04/27/2004 1453,Under Investigation,Brad Donahue, ,OR-WSA,Wasco,,21 nw of Warm springs,150ACRES,100Percent,4/28/04,0Chains,,,,0,0,,FALSE,FALSE,,,,,,,,,1, Burn out in the interior,,,,,,,, ,,,,,None,,, ,None,2-3 mph,55,N,40, 10 Timber (litter and understory) Mixed Conifer,Burn outs were hot. winds were light.,"All hand lines were completed, allburn outs went good. Beginning mop-up.",12-Jun,67-69,E,20-30,04/29/2004 1800,150,,Continue to mop-up.,Low,Low,Continue to mop-up,04/29/2004 1800, Caught and plan on holding the fire.  Weather looks favorable., ,1,0,6,0,0,0,0,12,0,2,0,2,3,0,169,0,N.Lucei,NWCC INTELL,NWCC,E-mail,4/28/04,1909,,,36,5,,,,,,,,,,,,,,120,4,4,,,,
0R-WSA-0007,Sidwalter Butte,4/29/2004,2016,Update,Wildland Fire,04/27/2004 1453,Under Investigation,Brad Donahue,3,OR-WSA,Wasco,,21 nw of Warm springs,188ACRES,100Percent,4/28/04,,,,,0,0,,FALSE,FALSE,,,,,,,,,1, ,,,,,,,, ,,,,,None,,, ,None, mph,,,, 10 Timber (litter and understory) Mixed Conifer,"Primarily smoldering, isolated flare ups.","Mop-up continued on fire, no resources were released today due to warming and drying trend for the weekend. At this time fire is in good shape.",,,,,04/29/2004 1800,188,,"Continue to hold lines, increase mop-up distance out from edge of perimeter. Clean up any unburned islands of fuel.",Low,Low,Likely,04/29/2004 1800, Upcoming weekend weather a concern but winds currently are not a problem., ,1,0,6,0,0,0,0,12,0,2,0,2,3,0,169,0,N. Lucei,NWCC INTELL,,,4/29/04,2000,,,36,5,,,,,,,,,,,,,,120,4,4,,,,
0R-WSA-0007,Sidwalter Butte,5/5/2004,2030,Final,Wildland Fire,04/27/2004 1453,Under Investigation,Brad Donahue,3,OR-WSA,Wasco,,21 nw of Warm springs,188ACRES,100Percent,4/28/04,,,,,0,0,,FALSE,FALSE,,,,,,,,,1, ,,,,,,,, ,,,,,,,, ,None, mph,,,, 10 Timber (litter and understory) Mixed Conifer,,"No recent updates of fire, most resources have been demobed, and though not officially declared out or controlled, will make a final report to clear out the 209 box for future fires.",,,,,04/29/2004 1800,188,,,Low,Low,,04/29/2004 1800, Final report on fire for NICC and GACC purposes until updated information is received from local dispatch office indicating any renewed problems or major changes., ,1,0,0,0,0,0,0,1,0,0,0,1,0,0,15,0,NWCC Intell,NWCC Intell,NICC Intell,NWCC Intell,5/5/04,2030,,,15,,,,,,,,,,,,,,,,,,,,,
AK-DAS-412312,Camp Creek,6/26/2004,2235,Update,Wildland Fire,06/25/2004 1330,Lightning,Reb Fergusn,3,AK-DAS,USA,,N NW OF POGO MINE  (N of Delta),"16,972ACRES",0Percent,8/1/04,0Chains,"$32,382 ",,,0,0,0,TRUE,TRUE,18,,,50,,,,,,Growth projected primarily to be on the east side of fire. Possible 1000 to 2000 acre growth.,,,,Pogo Mine,,,,Up to 50 structures at the Pogo mine site.  Valued at over $10 million.,,,,,"STCR, SITL, Radios","ORDM, RCDM",,,Remote road poses delays in all logistical and operational functions.,7 mph,76,w,44,5 Brush (2 Feet) Black Spruce,Torching and creeping.,"Fire was flown today, but due to heavy smoke, it could not be accurately mapped.  Main growth of the fire was primarily on the east side.  The northeast corner seems to be holding near Indian Creek.  Concerns for the mine entrance where critical infrastructure is located was evaluated.   The defensive plan for the airfield has been completed. Type 2 crew arrived this evening.",10,80-90,NE,18,,,,Continued protection of the Pogo mine and Airstrip.  Prepare defensible space at cabin sites.,Medium,Medium,Containment/control is not part of Wildland Fire Situation Analysis.,,,,0,0,2,0,0,0,2,1,0,0,0,0,4,0,36,0,Daniel Newby,Al Edgren,AICC,Daniel Newby,6/26/04,2309,,,,32,,,,,,,,,,,,,0,2,,,,2,,
AK-DAS-412312,Camp Creek,6/26/2004,2045,Initial,Wildland Fire,06/25/2004 1330,Lightning,Reb Fergusn,3,AK-DAS,USA,,N NW OF POGO MINE  (N of Delta),"15,971ACRES",0Percent,,,,,,0,0,0,TRUE,TRUE,18,,,50,,,,,,growth could be 1000 - 5000 acres,,,,,,,,Pogo Mine,,,,,,,,,,15 mph,78,N,,5 Brush (2 Feet) Black Spruce,observed crowning and torching fire behavior,"Set up defensible space, site chosen for ICP, crews were ordered, commo being established",,,,,,,,Set up defensible space around the Pogo Mine. Monitor fire until resources in place.,High,Medium,,," this initial report was done after the fact. Update to follow right after.This fire started in Fairbanks Area (State of Alaska)on Limited protection land, and grew on to Full protection lands in Delta Area (State of Alaska).",,1,0,0,0,0,0,1,1,0,0,0,0,2,0,20,0,Danny Newby,Al Edgren,NICC,LLG,6/26/04,2130,,,,,,,,,,,,,,,,,1,19,,,,,,
AK-DAS-412312,Camp Creek,6/27/2004,2015,Update,Wildland Fire,06/25/2004 1330,Lightning,Reb Fergusn,3,AK-DAS,USA,,N NW OF POGO MINE  (N of Delta),"18,000ACRES",0Percent,8/1/04,0Chains,"$52,464 ",,,0,0,0,FALSE,FALSE,18,,,50,,,,,,The fire is moving southeast towards the road.,,,,"Pogo Mine2 Cabins",,,,Pogo Mine $10 million,,,,,,,,,Continuing northwest winds pushing fire to endanger the only road access to the Pogo Mine.,5 mph,81,165,39,5 Brush (2 Feet) Black Spruce,"Fire behavior consisted of torching, running and spotting.","Fire is coming out of Indian Creek on the south side.  The fire was more active today, with a little plume come over ridge. ",10,81-91,NE,18-28,07/15/2004 0000,"100,000","$965,710 ","Continue work on defense of Pogo and the corridor with hose lay, pumps & sprinklers.",High,High,Containment/control is not planned under the Wildland Fire Situation Analysis at the present time.,,Fire Number has changed to reflect Delta Area Forestry ownership.  Previous fire resource order# AK-FAS-411312 and now is AK-DAS-412312,,0,0,2,0,0,0,2,1,0,0,0,0,6,0,38,0,Daniel Newby,Reb Ferguson,AICC,Daniel Newby,6/27/04,2125,,,,32,,,,,,,,,,,,,0,4,2,,,0,,
